id,text
33,tak ke tsiah te gua lai sann lau tshut king tua thiann pan li ting ki tshiu siok thuan the hing li thok un
34,tak ke long kau ah lan lai khi thing tshia tiunn tsiunn tshia
35,li tso ho e pipt sing kia tsit hun hoo gua phinn phang tsit e ho bo
36,oo oo a tsit e tua mng honnh koh ka ting khah kuan leh
37,li tioh ka png tsiah hoo liau
38,tsing lang thiann han tsing li an ne kong long kuann kin tann thau khuann suann ting tsit e khuann tak ke sim lai long am huan tsit siann gua khoo ah suann e tsiann tshiun ping u iann kiam tsit puann khi ah
39,kau ua a anh kioh
40,in ui bo tshu li ham hoo sing e bun te soo i e ing hiong tioh sit giam kiat ko e phin tsit
41,tsit e ki khi lang e tds si iong ts ah sit thau kho thong thu tso e
42,ai siong sin ka ti it ting phann e tioh lam ping iu
43,u ki hue e ti lak gue te i tsing tat sing hiap gi
44,gua kong guah e to gua e lah
45,tan si tai pak hiah ni hok tsap li tshu tshu tioh ai khah se li leh
46,an ne tso kam ok khe
47,tsan sing tsia o lo i kiann bu sit loo suann m koh kiong ho tong ti kok hue ka te tse
48,si tsap si phinn sin ho lam jin bo beh tau se uann tsi it ma ma e kam tong
49,kok hue a li u iann tsiok sui e liooh gun long tsiok him sian tsiok ka li liokh un tong sann khui tshui ka loh loh
50,gua tsit ma tiam ti leh a tsiunn peh tshu u ing tsiah lai tse lah
51,soo i gua be kah li ke kau
52,kiann bi kok iran kiann uah sa uti kho ka ti bi kouk tse kin kah iran kai sian kuan he i king in khi tsit k
53,kah gua tse long tse tsiah khui
54,suann ting long tah bu pe bong bong siann mih long khuann bo
55,o tsiu kok hue bat ti ji khong it ji ni piau kuat tong sing hun hap huat huah e gi te tsan sing phai su kah thng khoo
56,gua e sim
57,tshin tshiunn tinn kue pat po png ting mi tsue tsiah mih long ai iong tsut li lai tso
58,heh heh
59,he tian tong tshia honn tsau be tin tang ing kai si bo tian na ai ka bat te lih theh tshut lai tshiong tian tsit e
60,hit tui ang a boo o e si tsing phai e pu lu su thiau kah tsiann ho khuann
61,sag bak a ti tsa tsing si siann mih khuan lang leh tsiah e
62,tsiann ping khui mng lo tshia tsin tsing tshiann tsu i tshia siunn kah gue tai tiongg e phang m thang lak lue phang lin
63,li sing kiann shut khi tan kheh ting a
64,thann kai tshu hua e tsuan ki thann hong te tsong phoo sat pun guan king
65,tsit ma ma si kang khuan ah
66,i tshit tshi tshng tshng teh hau li kam long bo thiann e
67,pann ko gua bue ah thau ke niu si tai pak lai e i tso lang tsin ho
68,tioh a thai e u kho ling tsiah bian tsinn lah
69,a tsi lang kheh kheh khi khi
70,lai tshiunn kua
71,kuan ho ka ki e tai tsi to ho lan bo tsai tiau kuan pat lang e ing a tai
72,lai kai jip tsoo tsi ah si tse tshai po hing
73,tso tsit kua sin the bo tiann e kah i e tai tsi phoo phoo thann thann tsiong i tsing gik thai sin the e giah
74,i tsiok gau kah lang kau pue
75,ho i au na si huat sio tshiau kue nng kang tih ai sui lai kiam tsa oo
76,e tsai a u lang khah tian ue lai kong siann mih tsit ko bue ti tiam lai lu jcb loo tshiau kue tsit tshing khoo to sang ho khang
77,ho lin pe beh kah ui ui khi lai
78,iah gam tsioh iu huat tian kin opec te ui put po
79,gun ping io liam mih to beh lai a tsiah ma hua li the gua io bih tsit kua mih kiann tshia bang tsiah
80,pio it ka mi kah cr thau tsing sann tsap tsit pah goo pah tsit tshing sann tshing goo tshing e kiong tong su tsoo e soo liong leat tshut lai han lo kah tsuan lo hun khui sng thai tho lun tsit e su tsoo ti mi kah cr nng e thong ken pio long u tshut hian
81,hennh siu lang beh sueh si m
82,tha looh si te hn kak thau
83,kiann
84,ping siong si khang khue tso kah puann me tsiah png kuan si na pue tian noo
85,to tsit khuan se hau tsui siong thian jian lai be nng kuan tng khi tshi khuann mai
86,hun be put tshinn gun tsa boo kiann na u ban it khuann li beh iong siann mih lai pue gua
87,li kiann loo na e kuait kuai kam si khi uai tioh
88,oo ba sang li ho li beh ai e mih kiann ti tsia
89,tshin tshiunn han lo poo hun e ong lai am kue tsu pun ing kai si tsit e su
90,a an bi a huat ke kai khiam
91,lan kin lai tsiah png lah
92,li iong i e kua siann kah hiean a bi mgiau e suan lut ka ping an ham hing hok thuan tat tshut khi
93,iau m koh tai uan tian iann si gua e senn mia bo lun an tsuann gua ing lan long be hong khi
94,siong bue hit phinn suah hi e thau tsing tsit puann si ji khong khuong pat ni sia e tu tu si to tng tshut pan hi tsit tang
95,li tsa khi si a pin tua khi lai khi hue
96,e i tsinn kuai leh tue lang tsau ah
97,na tshuan khui ien hiunn tong lian si he ku
98,tshu lai khang khue tap tap ti tit tak hang long ai gua tso na tso e liau
99,li hi lo ga suh kam u kuainn u kah suh bi tsau tshut lai
100,kuann lai khi tian iann inn
101,bo lun lu ho li gua i king tsit tui ho tsing phuann
102,nag gua koh sann pit giap e ing gi tsuan giap thak nun ni
103,ike a e mih kiann kai ho tau bian gua ku to tau e ho
104,na bian siong pan to u tsinn gua sui si thau loo
105,eh
106,mng kiann kuann hoo ho oo
107, tso tai gi bun bun ku e hun thiah pfusin li iong gi huat tshiu puasin ti kai tsin gi su tah phue e tsing khak lut
108,tsui phang be khi li kho ling ai tau tsit tai phang phu lai phang
109,sim kuann
110,ho tshiann
111,tah bong si tshiu na siong sui e si tsun bong tsiong it tsheh khoo tso tsit khue bo kua bo ti
112,i ka te sann liap inn a ma tsiah tsia loh khi na tsia koh na o lo kong gua ah gua tsu tshut si kau tann m ba tsiah kue tsiah ni phang e inn a neh
113,ling gua king ki ing bun e gi liau khoo tso tshut lai e gi su tah phue kai su in pt tsi si tai bing su vatts kuan su oh loh in ui pin lot tsin kuan tsiah e gi su e gi su tah phue ofk lak latkloh tub in ot ma long pai ti tsiann thau tsing
114,i kai piak kian siau tai i sing kau kiat ki kong tong kui lo ik e poo hiam kim hoo phian liau liau
115,i si tsit e tsin lau sit e sian sinn lang
116,long si li tsit e tua khoo tai tsiah ka gua senn tsit e khong kiann
117,tiau tatk ka ti e tsu tiunn tshu bi ah si kong tsit kua tshio khue
118,peh pah khong lak phinn iah gam tsioh iu huat tian kin opec te ui put po
119,sit le ooh
120,i kui tiok phioh bang ne king lian kong ong po tshuan kak si ping kui si thau tsit tshut tai uan lang khip e tua ki phinn tian iann
121,ah li me gua thoo lui si li long tioh gua e neh
122,thau ke ah m thang lah
123,tsiok tse lang leh ioh a lak a e ti siann mih si tsun to tann
124,bo lun tian si ia tian tai tak ke siann siann ku ku kam sia ui tai e bu tshinn tak ke long su iau 
125,hau tiunn siann mih tai tsi
126,gua hiong i suat bing hit kiann tai tsi
127,tsit tsun hoo lan theh lai liah siu khi e tsiau a
128,kam kah khi lai na  u tam poh a iu tshiu guan lai khuai lok e tuan in m si tso siann mih tai tsi
129,ke lang bioh khau e thian pu lah siong u mia
130,tu tsiah kong hng lai u tsiann tse lang ti hiah sng phoo khe mong
131,ti bi kok pootin moo tsing tsok poo tong tng iam e si tsing tshu bin tsu tong the mia tsham suan tsong thong e 
132,na si tsau kang oo e kua leh to si thong koo na si khi tsiah kua leh to si phiang kok tse si kang khuan bo kang sai hu tsuat tui m thang hut m tioh khi
133,gua kah ti lai to e sai ah
134,hun lin kuan koo khenn hiong in khuan pinn a to u tsit king sann tsap ni kiunn bo a lau tiam
135,sann tsap phue i au to tso sian a sioh m lian tsiah png a hiooh
136,khang ke a lai king to tsit e suan thang siong tho tong
137,koh ga lin pe tiam beh kong 
138,iun un gian tai han ki sut hak inn tsu sin kang ting he tsoo li kau siu
139,bu ah li khuann leh tsiok sui tsiok koo tsui e iunn tsoo ne lang beh tih tsit su lah tsau gin a ki tui po e tu lai te
140,sian se i tsit khui kang liam i huah kuann liam mi hua luah kam e si tioh ma la li a
141,ui tsit e kak too khuann tsu tong gi su tah phue thong ke pio tui su tian su tiau e siu lok e tang the kiong tsit kua kian gi
142,lan si pai kui beh pue bong
143,i tshiann gua bo nng pai to huan hue ah
144,khuin na e bo kuainn anh
145,peh khi li khuann mai
146,iau kiu khah ho e sia hue tsing tshik
147,gua kong li tsit e koo mng kau ah guan tuai beh ka li kong ue li tsit ma si siann thai too ah
148,a pah mai pha au pai m kan
149,in e put buan koh kah lai tsu san tsia e tsng khan e tut buan hue hap tui sia hue un ting tso sing thiau tsia
150,sin tik tshi tsit ui goo hue tsa poo gin a in ui ui tng iam phiak tshut tua tng phah khang king kue kin kip be tshiu sut tsiah kue bin
151,li tshiu un lik khi lai sun suann ka li pong hui ap
152,ho
153,i e phue hu pe pe peh
154,ti kiat lun tsok tsiah kong oopan ma e iu tiam si i tsu tiong su iong king tse kah gua kau e lik liong
155,li khuann mui tsu oo tsiah gau khinn ke tsit ma tsing hui tsiah bat tai tsi gua tui tan ka u kau tai ah lah
156,ah lin pe a m ho ah lah lin tsa boo kiann ui tshinn tsang ting puah loh lai
157,bo khuann e khai e kue sim
158,ah tsit nia iunn tsong tsok sui e
159,li thau mng tshui tshiu peh lau khok khok a iau koh siun beh kah lang tshua sui booh
160,lan tsit tsun khih lok kang ai nng tiam puann tsing
161,au piah na bo lo ui hue kah thian tiau leh tho tikp biau khu e tsiu giap hok bu tiong sim kam kann an ne luat bu
162,hann
163,gun kiann tshing csc al e kam e sai hoo gun tshi tshing
164,tsai tiunn e hai min a laong tshi huai thai ko nua lo senn thau huat bue khue khau phua siunnh uai ko tshi tshuah khuann tioh ua beh khi ke bo phue
165,gua e sing khuann lah
166,in ui hue gam piann tiann su iau huah liau ti liau kue thing hoo i thiann tiu tiuh
167,tue put tsu lah gua m tsai to lo tieh sit tioh li honnh soo hue a tsiann se ji an ne ka in
168,thau tsing kong ui tioh pi sa beh sia he guan na si nmua thauh lan to m si to leh goh ah si u iann hiah iau i hia e tsiong kim
169,un tsiunn si kan tan e pe tshoo ka suan jiong
170,siun beh ka ti khuann br to ai sing khi be tsit tsoo khah ho e tsi p yu siat pi
171,gua e ka a kong tshua lai khi tshai tshi a
172,mh hah hlah ah a
173,si gsi e sim kha kam e tang tsha ti sann g e tshiu ki a lai bin
174,tsit hang tshai lai te u tsham be bong tio m le bong bi tsin kau tsin phang
175,a tsui peh a sang hoo gua sann tsap pauh thng a
176,siang khi tau the tsit ki phian tsi lai ka ting a giap phoo khui
177,lai tse lai tse
178,gua a put lah e ing tsit su
179,ho ah inn a i king tsiah liau ah kin a jit to kau tsiah ui tsi looh han tsing li an ne ka tak te kong
180,lai khui mng leh
181,ting ki si kan kau ah tak ke kin khi hau ki sik tsun pi ting ki tsin tsing ai sing tshuan ho hoo tsiau kah ting khi tsing tsiau sun si pai tui kiam tsah liau tsiah lai ting ki
182,a peh
183,phinn i hiong e sng tshoo sim liah thang huen pang hok tshoo tsong e u hit kang tsiong li pho ji ua e bang
184,kue lai tsit si a lah
185,siann mih thau loo e pi tsit lo khah ho
186,a peh si gua
187,tsu mue hoo gua tsiah
188,tsiah bo huan ging lin lah
189,koh leh khi sing te uah beh looh si
190,tsio gua tsit kha su li pa phah ka tsuah
191,ong thai thai lin sin pu sit tsai tsin gau tsu ka kui to phang kong kong
192,ho un lah
193,li si tui to ui tit tioh tsit tsiah ang a e
194,an ne siu kai u e bo bun te poo hun kho ling u bun te
195,eit ting ai e lah
196,e khi tshitk tioh lang e i su
197,a me a si beh khi tai pak ah si beh khi tai lam
198,tan si
199,gua khuann tioh ti a
200,phanm koh tua liap e inn a ooh tsit liap tsit kak gin nng lip nng kak gin sann liap tsiah bian tsinn ooh huah be siann khip in tsit kua kiann loo lange tsu i
201,gua hit tai tshia tsue kin tsiah ka sit liap thai ia tsuan poo uann kue
202,tsu hong be tang pai thik sin loh ah si khi in thau loo e lang kong tai gi
203,iau m koh u lang ui tioh ko jin e li ik bang hong siann beh lai sio tsinn
204,tsit siang bue a
205,kho ling bo huat too tsun si sit leh
206,pua piann tioh tsun pi tai sing tshiang kui ki tsing lang thiann hun bing su au bo inn tiunn
207,m sik phinn e ian guan tso khi lai ma bo kai khuai lok loo pinnn ke iu kui jit ing sian sian
208,aih ioh
209,tsau ha e thai lu it king pit khui ah ai khah tian ue kio sai hu lai uann
210,kue hai kuan tsin tsing u tsui ah si pak khuan tshiau kue tsit pah ci c e ikh the long ai to tiau u lai tah to a ah si tak e ui kin phin e tshiann tsu tong tan tiau be sai tsa ti sing khu ting
211,li e phue hu bong khi lai iu iu iuh be su a gin na leh
212,he thai e sai gua iau be tsiah tioh neh u lang bo huann hi leh tua siann huah
213,a ha a ha ah tsiong pe ah a tsiu peh ah
214,thoo kha tu jiu ho kut liu siu tioh se ji liau liau a kiann
215,senn ang e kau guan si to tsit e
216,siunn beh hoo se kai ko khah uan bi siunn beh hoo ka ting keh khah hing hok siunn beh hoo sen mia koh khah tshiong sit soo i
217,hiong tsing khong
218,be li siunn kheh khi lah
219,kong gu lng ku to beh khi khah tang tshiu ah
220,li tioh ai khun khun boo pa
221,thng siunn tinn gua bo se ji tsiah tioh li e khoo
222,lan tsap ni tsing ka jip tapvut ol be be mih kiann khah bo khiuh sue
223,huah tso bu hing tshoo tshu khan ting ti tai uan hian tai si te sann tsap ji ki
224,tsit e ah si hit le
225,hai kuan thong kue liau au tsiah khi hau khi sik sio tan si kan na u khah liong e tang khi se bian sueh ke
226,mui tsit e lang long si tok li beh mui tsit e lang long u ka ti e sing ua king giam ka ti sik
227,guah
228,kin a jit e ting hun to honnh kam e sai tshiann li the gua ta tsit kua tong tshong an lai khi in e ui a ho bo
229,in to si bo ting sop tsiah e tap pai long e lau kau mi kiann
230,i koh sia kong tng tso phai ti tsuan se kai si khi khuan ui kau ting iu koh kong ue u siann
231,i tsai too sang kai u tsun giam kah tsit ma e bo siann kang khuan
232,in ui siam pi oo tok bai suah tsing tioh ang moo thoo hoo nmua kiau tshia e tshia thau thap oh tsit e tsin giam tiong
233,lai tsiauh pai tui honnh
234,tiong kok m khing hoo bi kok  tshi tshit ian kiu ke tse e penn tok sam phuu
235,kio sann mih mia
236,mai an ne bo tai bo tsi to ka lang phngh
237,mai an ne lah
238,eh tau thong kiah ni bo hong pian
239,li e hak giap khah iau kin
240,a kam a
241,kau tann guan tsu bin e tang iong ka ti e bu li sia kong bun khah sit si tsuan hing tsing gi koh tsai huah tsit tua poo
242,tsu tsiah e lang ka i be tsit te thoo tho hi i hiam siunn tse thua to kuann khi hing hoo lang
243,jsuodanoo e pha tsiat long si ke kin pun bo siok gua tse
244,saudi tshit tsap pau hue sin kok ong san mun kin ni tsiann gueh tsiah ting ki tse ui
245,bo gua sit le
246,tshiu lai theh hit tiunn phue tsua na thak bak sai na thok thu ti
247,kian leh kin eh ah hah pua loh khi a
248,koh sann tso si hioh khun
249,na mng kong tsue kin suah loh lai kam koh e u hong thai siong tsio tsit si goo kang si bo khuann e lah guan tsiong ping iuo ing kai si blian huan lo
250,khah kong mah he
251,a bu gua ia m si sann hue gin a nai e be hong si m
252,tsan ne kam moo a pai tok li the i tshing ka
253,tui in tshu lai tshiong kik si siann khuan in tiong tuan e jin sing beh an tsuann
254,kong ue tioh tsing king m thang hi hi tshio
255,sun sun leh
256,gua khuann be tshut lai gua sia e tsok bun sit to tsit tiam bo ho
257,ho ho ho lah ah biau kuaie lan to beh tsit su ho lah mai hau honnh kuai
258,ah li tsa nng to kioh gua khi be tsit kua liau gua khi huan hu lah
259,tsin tsing kui kang gua kau tsing tshik e sia tiunn tevros chok tu ho ma sia bun tsiunn ki tshut tsit tsiong tso huat u tsin tse hong hiam pau kuah bo huat too ing hiong su thai e kiat ko lai po tsing bi kok e li ik sim tsi siong bue ma si tioh the pat lang tshit kha tshng
260,han tsing li tsim tsiok ka siau lian ke khuann khuann leh ka kong siau lian eh li tsai iann bo gua e inn a tsiah sann liap bian tsinn neh
261,li lai kau koo bio e kah lai
262,bo ka li phian tfr im me tshai kue poo si tsai u kau ho iong e lah na tsun kong li u su iau honnh e tang ui gua tsia the kui te a tng khi lu khuann mai
263,thau ke gua na u hiah san se gua na tshing e lueh
264,khi lai tsiah pong bo
265,lak bi lai hong hiong
266,si an tsuann in e tang khuann bian tsinn e guan beh iong tsit ah
267,tsit ma si guan tsu bin tsok gi tng bang bi lai kheh ka gi tai gi long u ki hue
268,tshiann mng e te to tsit ku e kong huat lan tai gi be an ne kong
269,li kam iau koh u ki thann e hong huat lai tsoo tong siu huat
270,hai ang tai gi bun hak gue khan te tsit pah khong ji ki
271,suah loh lai beh lai siau kai hue ling ki e an tsuan siat pi to sik mng ti hue ling ki e nng ping sang tsoo am ti thau khah ting kiou sing i ti i a kha
272,gua thai ai li soo i tsiah tsiah ni tshong pong
273,oo sui a bai a
274,tse tshe phainn a bin ting u sann e tsiu tsiu sann e sik tsui long bo kang
275,tiam tiam
276,tiam tiam tit pinn a tso bu su jin
277,tioh ai pe bu tsu hun ai u jin ke e lang kai siau tui hong tsa poo ah m tsai him au hoo luan luan kau
278,tsiong giap soo kam hik po ju si tong king ik kiap kiu tshut bu ki tshu kai huai si kia sing phann kai
279,ah i to kau hoo li tsiau koo honnh
280,tsiu hoo gua koh lin kui pue ah ho bo
281,li kong leh
282,m bian bua hiah menn
283,ooh mh
284,sat bak a tu liau kau tshi i gua koh u siann mih tik sik
285,li ka sing ua e tiong sim khng ti to ui bo tai tsi thang tso e si li kam e khang hi tsit e lang e si
286,tsit uann thoo tau thng khong kah mi mi mi tsiann ho loh au
287,goo tiam ji a n v n su tsoo
288,tsit uann png ling ling
289,hngh m tsiann niau
290,soo ni tshiu ki a kam u ho iong
291,e sai tsio tsinn ah si be saih
292,tsit e u thiann sim e a i koh ka in ting se sing khu tsit pai phak tah liau au the kut tau kah u ka tshiunn sin e kang khuan tsing tsha sik tsui u khah sit
293,m thang tsha i
294,li siann mih si tsun beh tng khi tai pak
295,thiann kong gin a lang khoo u a khah gau tua
296,tng lai ah
297,sin lun te tshiann kai sueh tsok tsiah soo kong lu sing m si tshut si to tsiann tso lu sing si hong kau iok tso lu sing e tsit ku ue i ham tsap hun
298,bian koh pian han kah ni te li tsinn to hainn gua lah
299,siann mih lang kong li u tshin ba khuann si m
300,eh ah li tsiah ka gua kai miah lah ah lin pe kio tsoh tsioh a kau lah
301,bo jin ho e kuan he
302,tshian pa lah si gun a kong khah tsa siong ai khuann e hi
303,tit e koo tsa si tsun tian tong long e kap tsit liap mue a kah tsit te tha khu ang
304,e ah tsia long ka ting ting khi lai
305,li na koh kiam ji sann tsap hue ah honnh gua tsiah phau hoo li tsiah
306,an ne bin a tsai kam kang huan si tsit liam tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng
307,kau tann iau u tsiok tse siau lian lang e tuann gi ta khi liok tsap boo gin a
308,p of ab uan sio i p of a sing p off b soo i mi of ab si hu soo
309,tng tang sin the huat tshut sin sit kong i i king siunn pah li suat kong m koh ke nng ko tsin sui
310,sin niu sin niu sui tang tang khoo te ho ho bo phua khang si long pue a phang kuan kuan kiann sun tai tai tiong tsiong uan
311,ui tioh siau loo tshi tiunn tua lat thui sak kik tuan e siau hui tsu gi hoo lang tsit si a to sui piau ti bo pit iau e khai siau
312,beh iong ing bun kah lang koo thong e si tsun li iong tsia e gi su tau tshut tsit ku lan liah tso e thong e ing bun ku m koh kong ing gi e lang kho ling sah bo niau a mng
313,tsi put ko tse kah lian bing lai te ki thann tong phai e i kian u sio khan lian
314,mh
315,kik hua tui khong e bok tik ki sit si po tsing i ka ti tsiang ak kok ka e khuan lik
316,u gua chiong poo to tshin tshiunn clinton si gueh ji kau ti niu iok a crlnbia tai hak tsit tiunn ian sak kong e
317,li tsit e lau kau li kam bo hun
318,na si ab tiann tiann sing tui tshut hian m koh a au piah e tsiap b i gua e su v thau tsing ma kho ling e tsiap a i gua e su
319,i kiann kah bin sik peh sut sut
320,iunn tong phing sian sinn iu tong phing sian sinn li na bu tng leh tshue li tshiann kau te ji kui tai sio tan to sia
321,in tau e tian hue long ua e loo i d e ke tsiann kng e
322,tshiann li ti noo tsi siann liau au khai si lau ue to sia
323,tsit te phang lai te khu li mu iau koh sio sio gin a lang un ai tsiah e
324,kin lai kue liau an tsuann
325,thinn khi tua kuann  pha tsit nia oo ba khah ho
326,ah gua koh lai tsiau hoo lang kheh lah honnh
327,aih iah m si lah
328,tong sing hun hap huat hua koh lai khuann oh tsiu
329,lai hang lang toh lo u hing ui gua hang e kong gua ok khiak khiak
330,nng e lang hiah ni ho suah kiann kau bue bo ua kho ai tshin tshiunn sat bun phue tsing hun na e tsiah ni po
331,tse to tso sing m na si kann lak siunn kheh hui iong siunn kuan kuan li siunn khun lai nia nia tsiah tse lang khi kuainn
332,long hoo se hong mui the khuann tso si sin tsing khuan tui gua tsing tshik khah tok lip tsik kik e piau hian
333,lin nng e ti hia si si su sut si teh kong siannh
334,kiu khong ni tai hua bun e tsu liau khoo ma khai si ti tai uan tiong kok ting soo tsai kian lip
335,ma mah bo peh thiann li
336,siunn khuann mai kong khuann mai be a kah iunn a tsha ti toh
337,ah lag a phah be kua e
338,hiong hiong u tsit e lang ka i ioh tsing sin i bak tsiu mgia kim khuann tioh tsit e bin tshiunn tiok bai e tsa poo lang tsiann tua siann ka huah
339,si lah gun tsai ia m tioh ah lah
340,gua u khuann tioh
341,i khenn kui puann poo long khienn bo tham
342,i sing jin iau koh u tsin tng e loo ai kiann
343,tsap ji pue a sia phua kam u iau kin
344,tit jit pun sa kut lah khui e hit tang tsun kui phiann ang ki ki kai sui
345,bi kok kah iran ma u kiong tong li ik pi lu iran tsi tshi e shia bin ping
346,sim ha jik sin bun bang tsam e phing lun ka chin laia poo i lin ui tsin u si tai i gi
